state,number_of_electric_cars,index,number_cars,number_non_electric_cars
Baden-Württemberg,447516,871,8662899,8215383
Bayern,508858,879,10907517,10398659
Berlin,77486,887,1492346,1414860
Brandenburg,57883,895,1891574,1833691
Bremen,15280,903,349764,334484
Hamburg,63864,911,955424,891560
Hessen,247801,919,4746596,4498795
Mecklenburg-Vorpommern,26345,927,1124068,1097723
Niedersachsen,271977,935,6144748,5872771
Nordrhein-Westfalen,654721,943,12737736,12083015
Rheinland-Pfalz,135281,951,3298482,3163201
Saarland,30096,959,788741,758645
Sachsen,71358,967,2723098,2651740
Sachsen-Anhalt,35680,975,1521611,1485931
Schleswig-Holstein,92741,983,2170085,2077344
Thüringen,39444,991,1518372,1478928
