operator,charging_facility_type,number_of_charging_points,power_connection_capacity,city,postal_code,commissioning_date,year,month,state
Pfalzwerke AG,Schnellladeeinrichtung,2,75.0,Lorsch,64653,2021-04-27,2021,4,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Fürth,64658,2022-04-08,2022,4,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Fürth,64658,2022-04-08,2022,4,Hessen
Vogel Autohäuser GmbH & Co. KG,Normalladeeinrichtung,2,44.0,Zwingenberg,64673,2019-11-24,2019,11,Hessen
Entega Plus GmbH,Schnellladeeinrichtung,2,150.0,Einhausen,64683,2022-07-20,2022,7,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Einhausen,64683,2022-09-15,2022,9,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Lautertal,64686,2021-02-16,2021,2,Hessen
inno2grid GmbH,Normalladeeinrichtung,2,22.0,Grasellenbach,64689,2021-10-01,2021,10,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Viernheim,68519,2021-05-20,2021,5,Hessen
Stadtwerke Viernheim GmbH,Normalladeeinrichtung,2,44.0,Viernheim,68519,2020-11-02,2020,11,Hessen
Stadtwerke Viernheim GmbH,Normalladeeinrichtung,2,44.0,Viernheim,68519,2022-03-25,2022,3,Hessen
Stadtwerke Viernheim GmbH,Normalladeeinrichtung,2,44.0,Viernheim,68519,2022-05-30,2022,5,Hessen
EWR AG,Normalladeeinrichtung,2,44.0,Lampertheim,68623,2019-03-18,2019,3,Hessen
Energieried GmbH & Co.KG,Normalladeeinrichtung,2,44.0,Lampertheim,68623,2022-03-28,2022,3,Hessen
Stadtwerke Weinheim GmbH,Normalladeeinrichtung,1,22.0,Hüttenfeld,68623,2021-11-11,2021,11,Hessen
EWR AG,Normalladeeinrichtung,2,44.0,Bürstadt,68642,2019-03-18,2019,3,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Hirschhorn,69434,2022-05-13,2022,5,Baden-Württemberg
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Birkenau,69488,2022-01-20,2022,1,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Mörlenbach,69509,2022-01-28,2022,1,Hessen
Kaufland,Schnellladeeinrichtung,2,93.0,Pfungstadt,64319,2018-09-11,2018,9,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Weiterstadt,64331,2020-11-09,2020,11,Hessen
EMobility Netzwerk Deutschland GmbH,Normalladeeinrichtung,1,11.0,Griesheim,64347,2022-10-10,2022,10,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Griesheim,64347,2022-09-15,2022,9,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Griesheim,64347,2022-09-23,2022,9,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Reinheim,64354,2023-02-08,2023,2,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Mühltal,64367,2022-03-25,2022,3,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Roßdorf,64380,2021-03-09,2021,3,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Roßdorf,64380,2021-10-19,2021,10,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Roßdorf,64380,2021-11-30,2021,11,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Erzhausen,64390,2022-07-20,2022,7,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Modautal,64397,2021-11-23,2021,11,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Modautal,64397,2021-11-23,2021,11,Hessen
WILLI KRÄMER KG,Normalladeeinrichtung,1,11.0,Gross-Bieberau,64401,2021-01-01,2021,1,Hessen
WILLI KRÄMER KG,Normalladeeinrichtung,2,39.6,Groß-Bieberau,64401,2021-01-19,2021,1,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Messel,64409,2021-10-19,2021,10,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Alsbach,64665,2022-02-02,2022,2,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Dieburg,64807,2022-01-28,2022,1,Hessen
Mercedes- Benz AG - Niederlassung Darmstadt,Normalladeeinrichtung,2,22.0,Dieburg,64807,2021-06-08,2021,6,Hessen
ALDI SÜD,Normalladeeinrichtung,2,44.0,Groß-Umstadt,64823,2021-02-25,2021,2,Hessen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,300.0,Groß-Umstadt,64823,2022-02-07,2022,2,Hessen
EnBW mobility+ AG und Co.KG,Schnellladeeinrichtung,2,150.0,Groß-Umstadt,64823,2022-07-18,2022,7,Hessen
ENTEGA Energie GmbH,Normalladeeinrichtung,2,44.0,Groß-Umstadt,64823,2018-07-09,2018,7,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Groß Umstadt,64823,2021-10-19,2021,10,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Groß Umstadt,64823,2021-09-24,2021,9,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Groß-Umstadt,64823,2022-01-28,2022,1,Hessen
Entega Plus GmbH,Schnellladeeinrichtung,2,150.0,Groß-Umstadt,64823,2022-10-18,2022,10,Hessen
Entega Plus GmbH,Schnellladeeinrichtung,2,150.0,Babenhausen,64832,2022-10-18,2022,10,Hessen
Polarstern Energie,Normalladeeinrichtung,2,44.0,Babenhausen,64832,2022-12-14,2022,12,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Groß-Zimmern,64846,2022-07-08,2022,7,Hessen
Privatperson,Normalladeeinrichtung,1,11.0,Schaafheim,64850,2022-02-08,2022,2,Hessen
Entega Plus GmbH,Normalladeeinrichtung,2,22.0,Mosbach,64850,2021-12-13,2021,12,Hessen
