state,inhabitants,area,population_density,number_of_charging_points,number_fast_charging_stations,number_regular_charging_stations
Baden-Württemberg,11280257,3574785,316,93695,14271,79424
Bayern,13369393,7054158,190,111983,19649,92334
Berlin,3755251,89112,4214,18854,2325,16529
Brandenburg,2573135,2965438,87,12340,2897,9443
Bremen,684864,41961,1632,3969,537,3432
Hamburg,1892122,75509,2506,14077,2157,11920
Hessen,6391360,2111562,303,41655,7504,34151
Mecklenburg-Vorpommern,1628378,2329490,70,6887,1677,5210
Niedersachsen,8140242,4770990,171,54124,11727,42397
Nordrhein-Westfalen,18139116,3411272,532,101969,17163,84806
Rheinland-Pfalz,4159150,1985797,209,21589,5975,15614
Saarland,992666,257152,386,4217,762,3455
Sachsen,4086152,1844986,221,20370,4620,15750
Sachsen-Anhalt,2186643,2046720,107,9250,2698,6552
Schleswig-Holstein,2953270,1580430,187,23142,4561,18581
Thüringen,2126846,1620237,131,11742,3424,8318
