state,inhabitants,area,population_density,number_of_charging_points,number_of_stations,number_fast_charging_stations,number_regular_charging_stations,number_of_electric_cars,cars_per_station
Baden-Württemberg,11280257,3574785,316,11419,5678,842,4836,320946,56.52448045086298
Bayern,13369393,7054158,190,12367,6722,873,5849,363975,54.14683130020827
Berlin,3755251,89112,4214,1641,954,144,810,58496,61.316561844863735
Brandenburg,2573135,2965438,87,1440,737,152,585,39206,53.19674355495251
Bremen,684864,41961,1632,516,247,31,216,11033,44.66801619433198
Hamburg,1892122,75509,2506,1241,616,116,500,47648,77.35064935064935
Hessen,6391360,2111562,303,4745,2399,318,2081,194759,81.18340975406419
Mecklenburg-Vorpommern,1628378,2329490,70,794,391,84,307,17821,45.57800511508952
Niedersachsen,8140242,4770990,171,6297,3203,561,2642,188133,58.7364970340306
Nordrhein-Westfalen,18139116,3411272,532,11266,5878,940,4938,469380,79.8536917318816
Rheinland-Pfalz,4159150,1985797,209,2471,1269,327,942,95899,75.57052797478329
Saarland,992666,257152,386,591,295,52,243,22806,77.30847457627118
Sachsen,4086152,1844986,221,2732,1386,328,1058,50544,36.467532467532465
Sachsen-Anhalt,2186643,2046720,107,1019,511,140,371,25730,50.35225048923679
Schleswig-Holstein,2953270,1580430,187,2295,1164,204,960,66645,57.25515463917526
Thüringen,2126846,1620237,131,1084,517,143,374,30302,58.61121856866538
