state,inhabitants,area,population_density,number_of_charging_points,number_fast_charging_stations,number_regular_charging_stations,number_of_electric_cars,index,number_cars,number_non_electric_cars,cars_per_ev_station
Baden-Württemberg,11280257,3574785,316,93695,14271,79424,447516,871,8662899,8215383,4.776306099578419
Bayern,13369393,7054158,190,111983,19649,92334,508858,879,10907517,10398659,4.5440647241099095
Berlin,3755251,89112,4214,18854,2325,16529,77486,887,1492346,1414860,4.109791025777024
Brandenburg,2573135,2965438,87,12340,2897,9443,57883,895,1891574,1833691,4.690680713128039
Bremen,684864,41961,1632,3969,537,3432,15280,903,349764,334484,3.8498362307886116
Hamburg,1892122,75509,2506,14077,2157,11920,63864,911,955424,891560,4.536762094196207
Hessen,6391360,2111562,303,41655,7504,34151,247801,919,4746596,4498795,5.948889689112952
Mecklenburg-Vorpommern,1628378,2329490,70,6887,1677,5210,26345,927,1124068,1097723,3.8253230724553506
Niedersachsen,8140242,4770990,171,54124,11727,42397,271977,935,6144748,5872771,5.025072056758554
Nordrhein-Westfalen,18139116,3411272,532,101969,17163,84806,654721,943,12737736,12083015,6.4207847483058575
Rheinland-Pfalz,4159150,1985797,209,21589,5975,15614,135281,951,3298482,3163201,6.266200379823058
Saarland,992666,257152,386,4217,762,3455,30096,959,788741,758645,7.136827128290253
Sachsen,4086152,1844986,221,20370,4620,15750,71358,967,2723098,2651740,3.5030927835051546
Sachsen-Anhalt,2186643,2046720,107,9250,2698,6552,35680,975,1521611,1485931,3.8572972972972974
Schleswig-Holstein,2953270,1580430,187,23142,4561,18581,92741,983,2170085,2077344,4.007475585515513
Thüringen,2126846,1620237,131,11742,3424,8318,39444,991,1518372,1478928,3.3592233009708736
