State,Total,Area,Density,Number of stations,Total cars
Baden-Württemberg,3574785,3574785,316,5678,177930
Bayern,7054158,7054158,190,6722,208318
Berlin,89112,89112,4214,954,32714
Brandenburg,2965438,2965438,87,737,21933
Bremen,41961,41961,1632,247,5446
Hamburg,75509,75509,2506,616,23517
Hessen,2111562,2111562,303,2399,107291
Mecklenburg-Vorpommern,2329490,2329490,70,391,10290
Niedersachsen,4770990,4770990,171,3203,115272
Nordrhein-Westfalen,3411272,3411272,532,5878,266568
Rheinland-Pfalz,1985797,1985797,209,1269,56018
Saarland,257152,257152,386,295,12564
Sachsen,1844986,1844986,221,1386,26565
Sachsen-Anhalt,2046720,2046720,107,511,14137
Schleswig-Holstein,1580430,1580430,187,1164,42911
Thüringen,1620237,1620237,131,517,17136
