fuel_type,pkw,total,year
Benzin,31435340,36397643,2021
Diesel,15060124,20771561,2021
Gas,429832,465935,2021
Electric,309083,358498,2021
Hybrid,1004089,1008131,2021
Hybrid E,279861,280149,2021
Sonstige,10116,18323,2021
Benzin,31005134,36108987,2022
Diesel,14824262,20693907,2022
Gas,413790,453208,2022
Electric,618460,683958,2022
Hybrid,1669051,1676618,2022
Hybrid E,565956,566553,2022
Sonstige,10181,18768,2022
Benzin,30556538,35770138,2023
Diesel,14437489,20406474,2023
Gas,407483,448976,2023
Electric,1013009,1139734,2023
Hybrid,2337897,2348469,2023
Hybrid E,864712,865555,2023
Sonstige,10620,19333,2023
Benzin,30235032,35546443,2024
Diesel,14142184,20200522,2024
Gas,391144,434262,2024
Electric,1408681,1555265,2024
Hybrid,2911262,2924897,2024
  darunter Plug-in,921886,922876,2024
Sonstige,10382,19247,2024
Benzin,31031021,35732397,2019
Diesel,15153364,20591834,2019
Gas,476368,507768,2019
Electric,83175,112119,2019
Hybrid,341411,342555,2019
Hybrid E,66997,67075,2019
Sonstige,10445,18528,2019
Benzin,31464680,36253555,2020
Diesel,15111382,20683724,2020
Gas,453670,487013,2020
Electric,136617,174625,2020
Hybrid,539383,541216,2020
Hybrid E,102175,102287,2020
Sonstige,10245,18211,2020
