land,regular_charging_points,fast_charging_points,number_of_charging_points,year
Baden-Württemberg,"1,106",241,"1,347",2018
Bayern,"2,138",363,"2,501",2018
Berlin,612,26,638,2018
Brandenburg,88,28,116,2018
Bremen,67,4,71,2018
Hamburg,622,62,684,2018
Hessen,742,141,883,2018
Mecklenburg-Vorpommern,109,28,137,2018
Niedersachsen,871,216,"1,087",2018
Nordrhein-Westfalen,"1,763",175,"1,938",2018
Rheinland-Pfalz,276,75,351,2018
Saarland,34,6,40,2018
Sachsen,245,62,307,2018
Sachsen-Anhalt,121,64,185,2018
Schleswig-Holstein,440,102,542,2018
Thüringen,290,75,365,2018
Deutschland,"9,524","1,668","11,192",2018
Baden-Württemberg,"2,304",456,"2,760",2019
Bayern,"3,909",538,"4,447",2019
Berlin,708,46,754,2019
Brandenburg,280,61,341,2019
Bremen,108,16,124,2019
Hamburg,837,79,916,2019
Hessen,"1,356",231,"1,587",2019
Mecklenburg-Vorpommern,177,43,220,2019
Niedersachsen,"1,691",329,"2,020",2019
Nordrhein-Westfalen,"2,973",365,"3,338",2019
Rheinland-Pfalz,626,204,830,2019
Saarland,64,19,83,2019
Sachsen,426,104,530,2019
Sachsen-Anhalt,251,82,333,2019
Schleswig-Holstein,800,148,948,2019
Thüringen,462,119,581,2019
Deutschland,"16,972","2,840","19,812",2019
Baden-Württemberg,"3,961",704,"4,665",2020
Bayern,"5,953",768,"6,721",2020
Berlin,950,85,"1,035",2020
Brandenburg,501,94,595,2020
Bremen,251,37,288,2020
Hamburg,"1,065",110,"1,175",2020
Hessen,"1,762",311,"2,073",2020
Mecklenburg-Vorpommern,253,62,315,2020
Niedersachsen,"2,671",488,"3,159",2020
Nordrhein-Westfalen,"5,030",580,"5,610",2020
Rheinland-Pfalz,"1,013",307,"1,320",2020
Saarland,170,35,205,2020
Sachsen,893,257,"1,150",2020
Sachsen-Anhalt,437,123,560,2020
Schleswig-Holstein,"1,184",211,"1,395",2020
Thüringen,584,156,740,2020
Deutschland,"26,678","4,328","31,006",2020
Baden-Württemberg,"6,017","1,110","7,127",2021
Bayern,"8,460","1,217","9,677",2021
Berlin,"1,585",152,"1,737",2021
Brandenburg,743,181,924,2021
Bremen,314,49,363,2021
Hamburg,"1,196",190,"1,386",2021
