Jahr	Straßentankstellen	Autobahntankstellen	Gesamt
2024	14.084	358	14.442
2023	14.106	358	14.464
2022	14.093	359	14.460
2021	14.070	359	14.429
2020	14.100	359	14.459
2019	14.091	358	14.449
2018	14.099	360	14 459
2017	14.118	360	14.478
2016	14.144	358	14.502
2015	14.176	355	14.531
2014	14.209	353	14.562
2013	14.281	350	14.678
2012	14.373	376	14.749
2011	 14.367	376	14.743
2010	14.410	 375	14.785
2009	14.447	 379	14.826
2008	14.527	 375	 14.902
2007	14.659	 377	15.036
2006	14.811	 3761	15.187
2005	15.070	358	 15.428
2004	15.405	 365	 15.770
2003	15.623	 348	 15.971
2002	15.722	 346	 16.068
2001	15.981	 343	 16.324
2000	16.061	 343	 16.404
1999	16.287	330	16.617
